SAPRC11D,mol,BRC10,142.28
SAPRC11D,mol,M24C8,142.28
SAPRC11D,mol,M26C8,142.28
SAPRC11D,mol,M2C9,142.28
SAPRC11D,mol,M3C9,142.28
SAPRC11D,mol,M4C9,142.28
SAPRC11D,mol,M33C8,142.28
SAPRC11D,mol,M224C7,142.28
SAPRC11D,mol,M225C7,142.28
SAPRC11D,mol,M23C8,142.28
SAPRC11D,mol,M25C8,142.28
SAPRC11D,mol,M2E3C7,142.28
SAPRC11D,mol,CYCC10,140.27
SAPRC11D,mol,C4CYCC6,140.27
SAPRC11D,mol,NC11,156.31
SAPRC11D,mol,BRC11,156.31
SAPRC11D,mol,M26C9,156.31
SAPRC11D,mol,M3C10,156.31
SAPRC11D,mol,M4C10,156.31
SAPRC11D,mol,CYCC11,154.29
SAPRC11D,mol,E1P2CC6,154.29
SAPRC11D,mol,NC12,170.33
SAPRC11D,mol,BRC12,170.33
SAPRC11D,mol,M36C10,170.33
SAPRC11D,mol,M3C11,170.33
SAPRC11D,mol,M5C11,170.33
SAPRC11D,mol,NC13,184.36
SAPRC11D,mol,NC14,198.39
SAPRC11D,mol,NC15,212.41
SAPRC11D,mol,NC16,226.44
SAPRC11D,mol,PROPENE,42.08
SAPRC11D,mol,ALLENE,40.06
SAPRC11D,mol,BUTENE1,56.11
SAPRC11D,mol,ISOBUTEN,56.11
SAPRC11D,mol,C2BUTE,56.11
SAPRC11D,mol,T2BUTE,56.11
SAPRC11D,mol,BUTDE12,54.09
SAPRC11D,mol,BUTDE13,54.09
SAPRC11D,mol,PENTEN1,70.13
SAPRC11D,mol,M1BUT3,70.13
SAPRC11D,mol,M1BUT2,70.13
SAPRC11D,mol,M2BUT2,70.13
SAPRC11D,mol,C2PENT,70.13
SAPRC11D,mol,T2PENT,70.13
SAPRC11D,mol,CYCPNTE,68.12
SAPRC11D,mol,HEXENE1,84.16
SAPRC11D,mol,M33BUT1,84.16
SAPRC11D,mol,M3C5E1,84.16
SAPRC11D,mol,M2C5E1,84.16
SAPRC11D,mol,M2C5E2,84.16
SAPRC11D,mol,C2C6E,84.16
SAPRC11D,mol,C3C6E,84.16
SAPRC11D,mol,M3C5E2,84.16
SAPRC11D,mol,M4T2C5E,84.16
SAPRC11D,mol,T2C6E,84.16
SAPRC11D,mol,T3C6E,84.16
SAPRC11D,mol,C6OLE2,84.16
SAPRC11D,mol,M3CC5E,82.14
SAPRC11D,mol,M1CC5E,82.14
SAPRC11D,mol,CYCHEXE,82.14
SAPRC11D,mol,T2C7E,98.19
SAPRC11D,mol,T3C7E,98.19
SAPRC11D,mol,C7OLE1,98.19
SAPRC11D,mol,C8COLE,110.20
SAPRC11D,mol,OCTENE1,112.21
SAPRC11D,mol,M244C5E1,112.21
SAPRC11D,mol,C9E1,126.24
SAPRC11D,mol,T4C9E,126.24
SAPRC11D,mol,C10E1,140.27
SAPRC11D,mol,E34C6E2,140.27
SAPRC11D,mol,C10OLE2,140.27
SAPRC11D,mol,CARENE3,136.23
SAPRC11D,mol,APINENE,136.23
SAPRC11D,mol,BPINENE,136.23
SAPRC11D,mol,DLIMONE,136.23
SAPRC11D,mol,SABINENE,136.23
SAPRC11D,mol,C11E1,154.29
SAPRC11D,mol,T5C11E,154.29
SAPRC11D,mol,TOLUENE,92.14
SAPRC11D,mol,C2BENZ,106.17
SAPRC11D,mol,MXYLENE,106.17
SAPRC11D,mol,OXYLENE,106.17
SAPRC11D,mol,PXYLENE,106.17
SAPRC11D,mol,STYRENE,104.15
SAPRC11D,mol,NC3BEN,120.19
SAPRC11D,mol,IC3BEN,120.19
SAPRC11D,mol,METTOL,120.19
SAPRC11D,mol,OETTOL,120.19
SAPRC11D,mol,PETTOL,120.19
SAPRC11D,mol,TMB123,120.19
SAPRC11D,mol,TMB124,120.19
SAPRC11D,mol,TMB135,120.19
SAPRC11D,mol,C10BEN1,134.22
SAPRC11D,mol,TC4BEN,134.22
SAPRC11D,mol,MC10BEN2,134.22
SAPRC11D,mol,OC10BEN2,134.22
SAPRC11D,mol,PC10BEN2,134.22
SAPRC11D,mol,PCYMENE,134.22
SAPRC11D,mol,C10B123,134.22
SAPRC11D,mol,C10B124,134.22
SAPRC11D,mol,C10B135,134.22
SAPRC11D,mol,BEN1234,134.22
SAPRC11D,mol,BEN1245,134.22
SAPRC11D,mol,MBEN1235,134.22
SAPRC11D,mol,NAPHTHAL,128.17
SAPRC11D,mol,C11BEN1,148.24
SAPRC11D,mol,MC11BEN2,148.24
SAPRC11D,mol,OC11BEN2,148.24
SAPRC11D,mol,PC11BEN2,148.24
SAPRC11D,mol,C11B123,148.24
SAPRC11D,mol,C11B124,148.24
SAPRC11D,mol,C11B135,148.24
SAPRC11D,mol,NAPH1,142.20
SAPRC11D,mol,C12BEN1,162.27
SAPRC11D,mol,MC12BEN2,162.27
SAPRC11D,mol,OC12BEN2,162.27
SAPRC11D,mol,PC12BEN2,162.27
SAPRC11D,mol,C12B123,162.27
SAPRC11D,mol,C12B124,162.27
SAPRC11D,mol,C12B135,162.27
SAPRC11D,mol,ETOX,44.05
SAPRC11D,mol,ETOH,46.07
SAPRC11D,mol,MEOME,46.07
SAPRC11D,mol,MEFORM,60.05
SAPRC11D,mol,ETGLYCL,62.07
SAPRC11D,mol,PROX,58.08
SAPRC11D,mol,IC3OH,60.10
SAPRC11D,mol,NC3OH,60.10
SAPRC11D,mol,ACYRACID,72.06
SAPRC11D,mol,MEACET,74.08
SAPRC11D,mol,PRGLYCL,76.09
SAPRC11D,mol,MEOETOH,76.09
SAPRC11D,mol,GLYCERL,92.09
SAPRC11D,mol,CROTALD,70.09
SAPRC11D,mol,THF,72.11
SAPRC11D,mol,MEC3AL2,72.11
SAPRC11D,mol,C4RCHO1,72.11
SAPRC11D,mol,IC4OH,74.12
SAPRC11D,mol,NC4OH,74.12
SAPRC11D,mol,SC4OH,74.12
SAPRC11D,mol,TC4OH,74.12
SAPRC11D,mol,ETOET,74.12
SAPRC11D,mol,VINACET,86.09
SAPRC11D,mol,ETACET,88.11
SAPRC11D,mol,C4OH12,90.12
SAPRC11D,mol,MEOC3OH,90.12
SAPRC11D,mol,ETOETOH,90.12
SAPRC11D,mol,DETGLCL,106.12
SAPRC11D,mol,MBUTENOL,86.13
SAPRC11D,mol,C5RCHO1,86.13
SAPRC11D,mol,IAMOH,88.15
SAPRC11D,mol,MTBE,88.15
SAPRC11D,mol,ETACRYL,100.12
SAPRC11D,mol,MEMACRT,100.12
SAPRC11D,mol,IPRACET,102.13
SAPRC11D,mol,PRACET,102.13
SAPRC11D,mol,MOEOETOH,120.15
SAPRC11D,mol,CC6KET,98.14
SAPRC11D,mol,CC6OH,100.16
SAPRC11D,mol,C6RCHO1,100.16
SAPRC11D,mol,MIBK,100.16
SAPRC11D,mol,MNBK,100.16
SAPRC11D,mol,HEXENOL,100.16
SAPRC11D,mol,ETBE,102.17
SAPRC11D,mol,IBUACET,116.16
SAPRC11D,mol,BUACET,116.16
SAPRC11D,mol,DIACTALC,116.16
SAPRC11D,mol,M24C5OH2,118.17
SAPRC11D,mol,BUOETOH,118.17
SAPRC11D,mol,PGMEACT,132.16
SAPRC11D,mol,CSVACET,132.16
SAPRC11D,mol,DGEE,134.17
SAPRC11D,mol,DPRGLCL,134.17
SAPRC11D,mol,ADIPACD,146.14
SAPRC11D,mol,BZCH2OH,108.14
SAPRC11D,mol,C7RCHO1,114.19
SAPRC11D,mol,C7KET2,114.19
SAPRC11D,mol,M3HXO2,114.19
SAPRC11D,mol,BUOC3OH,132.20
SAPRC11D,mol,E3EOC3OH,146.18
SAPRC11D,mol,DPGOME2,148.20
SAPRC11D,mol,C8RCHO1,128.21
SAPRC11D,mol,HEXEACET,142.20
SAPRC11D,mol,IBUIBTR,144.21
SAPRC11D,mol,DGBE,162.23
SAPRC11D,mol,TEXANOL,216.32
SAPRC11D,mol,DBUPTHT,278.34
SAPRC11D,mol,CH3CL,50.49
SAPRC11D,mol,CL2ME,84.93
SAPRC11D,mol,MEBR,94.94
SAPRC11D,mol,CHCL3,119.38
SAPRC11D,mol,ETAMINE,45.08
SAPRC11D,mol,ETOHNH2,61.08
SAPRC11D,mol,CLETHE,62.50
SAPRC11D,mol,C2CL,64.51
SAPRC11D,mol,HFC152A,66.05
SAPRC11D,mol,CL212ETH,98.96
SAPRC11D,mol,CL3ETHE,131.39
SAPRC11D,mol,TCE111,133.40
SAPRC11D,mol,CL4ETHE,165.83
SAPRC11D,mol,MEACTYL,40.06
SAPRC11D,mol,ACRYLNIT,53.06
SAPRC11D,mol,TMAMINE,59.11
SAPRC11D,mol,T13DCP,110.97
SAPRC11D,mol,C13DCP,110.97
SAPRC11D,mol,VINACYL,52.07
SAPRC11D,mol,ETACTYL,54.09
SAPRC11D,mol,AMP,89.14
SAPRC11D,mol,NMP,99.13
SAPRC11D,mol,HLBEN,112.56
SAPRC11D,mol,HL2BEN,147.00
SAPRC11D,mol,SIOME4,296.62
SAPRC11D,mol,INDTET,132.20
SAPRC11D,mol,CCL3NO2,164.38
SAPRC11D,mol,CS2,76.14
SAPRC11D,mol,MITC,73.12
SAPRC11D,mol,MOLINATE,187.30
SAPRC11D,mol,PROPALD,58.08
SAPRC11D,mol,MEK,72.11
SAPRC11D,mol,CLACET,92.52
SAPRC11D,mol,CLCCHO,78.50
SAPRC11D,mol,HCHO,30.03
SAPRC11D,mol,CCHO,44.05
SAPRC11D,mol,RCHO,58.08
SAPRC11D,mol,GLCHO,60.05
SAPRC11D,mol,ACET,58.08
SAPRC11D,mol,PROD1,72.11
SAPRC11D,mol,MEOH,32.04
SAPRC11D,mol,HCOOH,46.03
SAPRC11D,mol,CCOOH,60.05
SAPRC11D,mol,RCOOH,74.08
SAPRC11D,mol,CCO3H,76.05
SAPRC11D,mol,GLY,58.04
SAPRC11D,mol,MGLY,72.07
SAPRC11D,mol,BACL,86.09
SAPRC11D,mol,PHEN,94.11
SAPRC11D,mol,CRES,108.14
SAPRC11D,mol,XYNL,122.16
SAPRC11D,mol,BALD,106.13
SAPRC11D,mol,ACRO,56.06
SAPRC11D,mol,MACR,70.09
SAPRC11D,mol,MVK,70.09
SAPRC11D,mol,IPRD,100.12
SAPRC11D,mol,PROD2,116.16
SAPRC11D,mol,RNO3,147.18
SAPRC11D,mol,CATL,110.11
SAPRC11D,mol,OTH1,145.43
SAPRC11D,mol,OTH2,79.97
SAPRC11D,mol,OTH3,90.64
SAPRC11D,mol,OTH4,105.90
SAPRC11D,mol,OTH5,130.20
SAPRC11D,mol,OLE1,139.07
SAPRC11D,mol,OLE2,135.05
SAPRC11D,mol,ARO1,141.15
SAPRC11D,mol,ARO2,136.35
SAPRC11D,mol,TERP,136.24
SAPRC11D,mol,SESQ,204.35
SAPRC11D,mass,NROG,1
SAPRC11D,mass,NVOL,1
RADM2,mol,CH4,16
RADM2,mol,ETH,30
RADM2,mol,HC3,44
RADM2,mol,HC5,72
RADM2,mol,HC8,114
RADM2,mol,OL2,28
RADM2,mol,OLT,42
RADM2,mol,OLI,56
RADM2,mol,TOL,92
RADM2,mol,XYL,106
RADM2,mol,HCHO,30
RADM2,mol,ALD,44
RADM2,mol,KET,72
RADM2,mol,ISO,68
RADM2,mol,CSL,108
RADM2,mol,ORA1,46
RADM2,mol,ORA2,60
RADM2,mol,GLY,58
RADM2,mol,MGLY,72
RADM2,mol,MACR,70
RADM2,mol,MVK,70
RADM2,mass,NROG,1
RADM2,mass,NVOL,1
RACM2,mol,CH4,16
RACM2,mol,ETH,30
RACM2,mol,HC3,44
RACM2,mol,HC5,72
RACM2,mol,HC8,114
RACM2,mol,ETE,28
RACM2,mol,OLI,68
RACM2,mol,OLT,42
RACM2,mol,DIEN,54
RACM2,mol,BEN,78
RACM2,mol,TOL,92
RACM2,mol,XYM,106
RACM2,mol,XYP,106
RACM2,mol,XYO,106
RACM2,mol,HCHO,30
RACM2,mol,ALD,58
RACM2,mol,ACT,58
RACM2,mol,MEK,72
RACM2,mol,KET,86
RACM2,mol,ROH,60
RACM2,mol,HKET,74
RACM2,mol,CSL,108
RACM2,mol,PHEN,94
RACM2,mol,API,136
RACM2,mol,ISO,68
RACM2,mol,LIM,136
RACM2,mol,MVK,70
RACM2,mol,MACR,70
RACM2,mol,ONIT,119
RACM2,mol,GLY,58
RACM2,mol,MGLY,72
RACM2,mol,UALD,84
RACM2,mol,ACD,44
RACM2,mol,ORA2,60
RACM2,mol,ACE,26
RACM2,mol,BALD,106
RACM2,mol,EOH,46
RACM2,mol,ETEG,62
RACM2,mol,ORA1,46
RACM2,mol,MOH,32
RACM2,mass,NROG,1
RACM2,mass,NVOL,1
CBIV,mol,PAR,16
CBIV,mol,OLE,32
CBIV,mol,TOL,112
CBIV,mol,XYL,128
CBIV,mol,FORM,16
CBIV,mol,ALD2,32
CBIV,mol,ETH,32
CBIV,mol,ISOP,80
CBIV,mol,MEOH,16
CBIV,mol,ETOH,32
CBIV,mol,UNR,16
CBIV,mass,NROG,1
CBIV,mass,NVOL,1
CB05,mol,PAR,16
CB05,mol,OLE,32
CB05,mol,TOL,112
CB05,mol,XYL,128
CB05,mol,FORM,16
CB05,mol,ALD2,32
CB05,mol,ETH,32
CB05,mol,ISOP,80
CB05,mol,MEOH,16
CB05,mol,ETOH,32
CB05,mol,CH4,16
CB05,mol,ETHA,32
CB05,mol,IOLE,64
CB05,mol,ALDX,32
CB05,mol,TERP,160
CB05,mol,UNR,16
CB05,mass,NROG,1
CB05,mass,NVOL,1
